ChiSqrHorizontalRelativeVolume;ChiSqrVerticalRelativeVolume;RsRelativeVolume;KzhaHorizontalThreshold;KzhaHorizontalBitsVolume;KzhaVerticalThreshold;KzhaVerticalBitsVolume;PixelsNum;IsDataHided
0;0;0,054365701688394295;0;0;0;0;10944452;False
0;0;0,011210864069588182;0;0;0;0;13504500;False
0,000441404;0,000441404;0,000613659;0;0;0;0;27104442;False
0,015789473684210527;0,015789473684210527;0,028595306790546556;0;0;0;0;2325600;False
0;0;0,2193586676842667;0;0;0;0;2350080;False
0;0;0,04192969;0;0;0;0;2766240;False
0,000980392;0,000980392;0,003916677;0;0;0;0;2790720;False
0,003654971;0,003654971;0,24898166862579282;0;0;0;0;2790720;False
0,062962963;0,062962963;0,060109414;0;0;0;0;3421440;True
0,396484375;0,396484375;0,21922366689133677;0;0;0;0;3133440;True
0;0;0,7631984127283582;70,54834777025276;126;74,11712116485333;90;2766240;True
0,000737463;0,000737463;0,28979700511791534;0;0;0;0;2766240;True
0,6224188790560472;0,6224188790560472;0,1839012554636922;0;0;0;0;2766240;True
0,007374631;0,007374631;0,2595567681984554;0;0;0;0;2766240;True
1;1;0,7811522228178264;0;0;0;0;2766240;True
0,7249262536873157;0,7249262536873157;0,17955727564878585;0;0;0;0;2766240;True
0;0;0,21342596850936627;0;0;0;0;2766240;True
0,001572327;0,001572327;0,10364214600970788;0;0;0;0;2594880;False
0;0;0,026446392351826623;0;0;0;0;3686400;False
0;0;0,041431533;0;0;0;0;10077696;False
0;0;0,010455379212600794;0;0;0;0;18730200;False
0;0;0,005901431;84,53094923696526;529;80,40825835847889;317;22761600;True
0;0;0,004331106;0;0;0;0;23789568;False
0;0;0,098176808;75,07190433353355;9;0;0;3133440;True
0,037760416666666664;0,037760416666666664;0,23026282493599556;0;0;0;0;3133440;True
0,00245098;0,00245098;0,019943925797724023;0;0;0;0;2766240;False
0;0;0,018972370841562877;0;0;0;0;2766240;False
0,028023598820058997;0,028023598820058997;0,4557153403910085;0;0;0;0;2766240;True
0;0;0,036583548648808396;0;0;0;0;2790720;False
0,002604167;0,002604167;0,5094447139981678;0;0;0;0;2350080;True
0,003431373;0,003431373;0,3842809765655903;0;0;0;0;2766240;True
0,010324484;0,010324484;0,042770898;0;0;0;0;2766240;False
0,024425287;0,024425287;0,3178842142906977;0;0;0;0;2839680;True
0,15634218289085547;0,15634218289085547;0,5883873338128632;0;0;0;0;2766240;True
0,002949853;0,002949853;0,7583472036318369;0;0;0;0;2766240;True
0,000490196;0,000490196;0,088362035;71,15078849377383;8;0;0;3108960;True
0;0;0,1245533362747932;0;0;0;0;6670160;False
0;0;0,058962124;0;0;0;0;10342656;False
0;0;0,4188306235726728;0;0;0;0;10036224;True
0;0;0,003281205;0;0;0;0;12979200;False
0;0;0,042703854;0;0;0;0;12979200;False
0;0;0,014008753829421303;0;0;0;0;20668416;False
0;0;0,16496694108038432;59,05973466089771;14296;59,580541311683845;455;24000000;True
0,7308259587020649;0,7308259587020649;0,186722326;0;0;0;0;2766240;True
0,011799410029498525;0,011799410029498525;0,007247243;0;0;0;0;2766240;False
0;0;0,074118044;84,96058317817872;21;77,61146653490206;165;2766240;True
0,4646017699115044;0,4646017699115044;0,8383474263888923;0;0;0;0;2766240;True
0,004424779;0,004424779;0,054884888;0;0;0;0;2766240;False
0,5956057007125891;0,5956057007125891;0,1632741241464657;0;0;0;0;4311040;True
0,002604167;0,002604167;0,3532104725098784;0;0;0;0;3133440;True
0,012536873156342183;0,012536873156342183;0,025588759477105805;0;0;0;0;2766240;False
0,042772861;0,042772861;0;0;0;0;0;2766240;True
0;0;0,022694342447016135;0;0;0;0;3743580;False
0,000737463;0,000737463;0,05230197;41,61634168448741;2224;48,85714503938663;10;2766240;True
0;0;0,18944543578279424;0;0;0;0;3133440;False
0,40289256198347106;0,40289256198347106;0,8644610834167951;0;0;0;0;2962080;True
0,13676470588235295;0,13676470588235295;0,1856740563556263;0;0;0;0;4161600;True
0;0;0,030833536;0;0;0;0;4000000;False
0,011111111111111112;0,011111111111111112;0,005356846;0;0;0;0;3933360;False
0;0;0,014046450558346246;0;0;0;0;10668000;False
0;0;0,023868748;0;0;0;0;12000000;False
0;0;0,000734109;0;0;0;0;20174000;False
0;0;0,000857244;84,98713061457963;15;66,87908878339637;6416;20174000;True
0;0;0,021665290019111254;0;0;0;0;2766240;False
0,001474926;0,001474926;0,069356011;0;0;0;0;2766240;False
0;0;0,1897532811406951;85,43193614909381;36;85,22765532347564;46;2766240;True
0;0;0,31415541475728626;45,55436888177054;2539;45,583078464386425;127;2766240;True
0;0;0,019031682530729923;0;0;0;0;3133440;False
0,07079646;0,07079646;0,599700383;0;0;0;0;2766240;True
0,008196721;0,008196721;0,099606788;0;0;0;0;2986560;False
0,528023599;0,528023599;0,8472267791449647;0;0;0;0;2766240;True
0,002212389;0,002212389;0,28742928480047714;0;0;0;0;2766240;True
0,001474926;0,001474926;0,082342972;0;0;0;0;2766240;False
